Entity,Year,Estimated maternal deaths
Congo,2020,502.64664
Costa Rica,2016,13.001887
Costa Rica,2017,13.103475
Costa Rica,2018,12.233147
Costa Rica,2019,12.152488
Costa Rica,2020,13.64236
Cote d'Ivoire,2016,4680.487
Cote d'Ivoire,2017,4570.7886
Cote d'Ivoire,2018,4663.8325
Cote d'Ivoire,2019,4365.0605
Cote d'Ivoire,2020,4400.745
Croatia,2016,2.0303447
Croatia,2017,1.9819833
Croatia,2018,1.809575
Croatia,2019,1.6771636
Croatia,2020,1.7340558
Cuba,2016,47.643745
Cuba,2017,46.18567
Cuba,2018,45.170544
Cuba,2019,44.327637
Cuba,2020,41.609818
Cyprus,2016,5.9209485
Cyprus,2017,6.418447
Cyprus,2018,7.60712
Cyprus,2019,8.295829
Cyprus,2020,8.892856
Czechia,2016,3.916648
Czechia,2017,3.5502088
Czechia,2018,3.5662465
Czechia,2019,3.6687663
Czechia,2020,3.6101975
Democratic Republic of Congo,2016,19845.662
Democratic Republic of Congo,2017,20795.863
Democratic Republic of Congo,2018,20369.562
Democratic Republic of Congo,2019,20757.56
Democratic Republic of Congo,2020,21511.26
Denmark,2016,3.3411262
Denmark,2017,2.9996772
Denmark,2018,3.0079625
Denmark,2019,2.7116728
Denmark,2020,2.8412073
Djibouti,2016,60.293602
Djibouti,2017,59.29279
Djibouti,2018,61.6548
Djibouti,2019,58.583202
Djibouti,2020,56.27762
Dominican Republic,2016,218.13315
Dominican Republic,2017,222.42346
Dominican Republic,2018,232.75824
Dominican Republic,2019,216.10298
Dominican Republic,2020,222.20941
East Timor,2016,86.62254
East Timor,2017,84.540115
East Timor,2018,82.33091
East Timor,2019,73.7672
East Timor,2020,67.295
Ecuador,2016,208.91797
Ecuador,2017,206.4303
Ecuador,2018,213.29938
Ecuador,2019,221.37495
Ecuador,2020,196.59152
Egypt,2016,548.9391
Egypt,2017,502.46246
Egypt,2018,485.67804
Egypt,2019,442.18747
Egypt,2020,416.62418
El Salvador,2016,46.545963
El Salvador,2017,47.79075
El Salvador,2018,46.43999
El Salvador,2019,40.409813
El Salvador,2020,43.64627
Equatorial Guinea,2016,87.54894
Equatorial Guinea,2017,94.56571
Equatorial Guinea,2018,107.33057
Equatorial Guinea,2019,106.01388
Equatorial Guinea,2020,106.16515
Eritrea,2016,392.52225
Eritrea,2017,362.15366
Eritrea,2018,341.12808
Eritrea,2019,338.16165
Eritrea,2020,327.98172
Estonia,2016,0.8134465
Estonia,2017,0.784729
Estonia,2018,0.7515892
Estonia,2019,0.7091634
Estonia,2020,0.7251499
Eswatini,2016,85.38904
Eswatini,2017,73.44336
Eswatini,2018,65.49035
Eswatini,2019,66.11842
Eswatini,2020,69.49339
Ethiopia,2016,12473.096
Ethiopia,2017,12459.094
Ethiopia,2018,11438.746
Ethiopia,2019,11116.966
Ethiopia,2020,10246.213
Europe,2016,578.38605
Europe,2017,546.0582
Europe,2018,528.0819
Europe,2019,469.61633
Europe,2020,582.329
Fiji,2016,7.535975
Fiji,2017,6.9981303
Fiji,2018,6.9506373
Fiji,2019,6.868916
Fiji,2020,6.848423
Finland,2016,4.1413646
Finland,2017,3.6451015
Finland,2018,3.6835577
Finland,2019,3.9254253
Finland,2020,3.8358948
France,2016,56.22358
France,2017,54.410526
France,2018,55.397064
France,2019,54.19848
France,2020,53.939915
Gabon,2016,136.0162
Gabon,2017,139.38974
Gabon,2018,146.28232
Gabon,2019,144.30386
Gabon,2020,142.72678
Gambia,2016,429.52353
Gambia,2017,419.6156
Gambia,2018,434.8518
Gambia,2019,407.94476
Gambia,2020,398.66907
Georgia,2016,14.494359
Georgia,2017,14.318378
Georgia,2018,14.154026
Georgia,2019,13.498398
Georgia,2020,13.52804
Germany,2016,39.26618
Germany,2017,37.05885
Germany,2018,36.66261
Germany,2019,34.35369
Germany,2020,33.656147
Ghana,2016,2328.2366
Ghana,2017,2399.259
Ghana,2018,2447.1526
Ghana,2019,2197.0098
Ghana,2020,2373.2395
Greece,2016,4.759245
Greece,2017,5.0304284
Greece,2018,4.7300334
Greece,2019,4.829091
Greece,2020,6.20002
Grenada,2016,0.46387675
Grenada,2017,0.4756234
Grenada,2018,0.4216575
Grenada,2019,0.40969145
Grenada,2020,0.4227658
Guatemala,2016,430.04028
Guatemala,2017,390.88318
Guatemala,2018,397.59155
Guatemala,2019,393.13898
Guatemala,2020,361.95285
Guinea,2016,2791.1855
Guinea,2017,2568.9082
Guinea,2018,2560.4084
Guinea,2019,2533.2805
Guinea,2020,2556.7153
Guinea-Bissau,2016,424.1175
Guinea-Bissau,2017,444.4507
Guinea-Bissau,2018,408.38852
Guinea-Bissau,2019,446.9899
Guinea-Bissau,2020,464.05914
Guyana,2016,20.279646
Guyana,2017,19.733004
Guyana,2018,18.83291
Guyana,2019,18.659935
Guyana,2020,17.91087
Haiti,2016,1051.7057
Haiti,2017,953.63495
Haiti,2018,972.26184
Haiti,2019,948.37134
Haiti,2020,949.5846
High-income countries,2016,1653.0657
High-income countries,2017,1630.8323
High-income countries,2018,1606.1598
High-income countries,2019,1565.2422
High-income countries,2020,1677.3279
Honduras,2016,132.44005
Honduras,2017,136.22122
Honduras,2018,139.30334
Honduras,2019,143.27216
Honduras,2020,155.12964
Hungary,2016,13.23132
Hungary,2017,13.582236
Hungary,2018,13.560757
Hungary,2019,12.978483
Hungary,2020,13.995464
Iceland,2016,0.11992136
Iceland,2017,0.11219889
Iceland,2018,0.11212961
Iceland,2019,0.12491754
Iceland,2020,0.13272089
India,2016,30029.332
India,2017,28780.06
India,2018,27965.082
India,2019,27448.107
India,2020,23753.088
Indonesia,2016,9148.769
Indonesia,2017,8989.975
Indonesia,2018,8310.351
Indonesia,2019,7211.0015
Indonesia,2020,7826.4727
Iran,2016,313.9102
Iran,2017,290.18906
Iran,2018,257.22977
Iran,2019,273.06058
Iran,2020,273.69476
Iraq,2016,988.5261
Iraq,2017,890.30774
Iraq,2018,830.05396
Iraq,2019,850.0606
Iraq,2020,897.3423
Ireland,2016,3.3662467
Ireland,2017,3.4058657
Ireland,2018,3.3667336
Ireland,2019,3.313923
Ireland,2020,2.9903743
Israel,2016,5.241959
Israel,2017,4.6833553
Israel,2018,4.693589
Israel,2019,4.8335986
Israel,2020,4.966258
Italy,2016,29.430037
Italy,2017,28.71018
Italy,2018,21.11415
Italy,2019,19.744986
Italy,2020,18.82285
Jamaica,2016,37.331047
Jamaica,2017,36.526127
Jamaica,2018,30.77432
Jamaica,2019,31.635773
Jamaica,2020,32.63004
Japan,2016,48.264126
Japan,2017,46.399452
Japan,2018,45.96897
Japan,2019,35.56342
Japan,2020,35.72745
Jordan,2016,101.231094
Jordan,2017,100.70322
Jordan,2018,100.05648
Jordan,2019,99.51327
Jordan,2020,100.39494
Kazakhstan,2016,53.8778
Kazakhstan,2017,52.415543
Kazakhstan,2018,55.346653
Kazakhstan,2019,56.62863
Kazakhstan,2020,57.281944
Kenya,2016,7353.1064
Kenya,2017,7143.348
Kenya,2018,7468.046
Kenya,2019,7297.3193
Kenya,2020,7716.2505
Kiribati,2016,3.5045443
Kiribati,2017,3.3475976
Kiribati,2018,3.3106897
Kiribati,2019,3.2467709
Kiribati,2020,3.0533886
Kuwait,2016,3.70073
Kuwait,2017,3.639508
Kuwait,2018,3.86597
Kuwait,2019,4.0370307
Kuwait,2020,3.8005764
Kyrgyzstan,2016,88.35209
Kyrgyzstan,2017,86.79991
Kyrgyzstan,2018,91.24933
Kyrgyzstan,2019,79.225136
Kyrgyzstan,2020,81.11574
Laos,2016,276.6658
Laos,2017,274.79572
Laos,2018,272.69727
Laos,2019,251.4846
Laos,2020,206.74127
Latvia,2016,4.7184033
Latvia,2017,4.576148
Latvia,2018,4.439771
Latvia,2019,4.1438184
Latvia,2020,3.297892
Lebanon,2016,21.304407
Lebanon,2017,20.412823
Lebanon,2018,17.67639
Lebanon,2019,18.22127
Lebanon,2020,18.14967
Lesotho,2016,400.75186
Lesotho,2017,383.84213
Lesotho,2018,359.18356
Lesotho,2019,377.3189
Lesotho,2020,334.06168
Liberia,2016,997.8025
Liberia,2017,1051.2024
Liberia,2018,1094.0121
Liberia,2019,1075.419
Liberia,2020,1050.2654
Libya,2016,95.09617
Libya,2017,84.95399
Libya,2018,86.26967
Libya,2019,89.16337
Libya,2020,87.99506
Lithuania,2016,2.52388
Lithuania,2017,2.4104872
Lithuania,2018,2.2753255
Lithuania,2019,2.060086
Lithuania,2020,2.3383307
Low-income countries,2016,99458.79
Low-income countries,2017,98029.1
Low-income countries,2018,95864.984
Low-income countries,2019,95236.375
Low-income countries,2020,95501.91
Lower-middle-income countries,2016,182374.53
Lower-middle-income countries,2017,179782.34
Lower-middle-income countries,2018,179969.95
Lower-middle-income countries,2019,178302.4
Lower-middle-income countries,2020,166909.83
Luxembourg,2016,0.37982413
Luxembourg,2017,0.40354717
Luxembourg,2018,0.39760026
Luxembourg,2019,0.3848196
Luxembourg,2020,0.38913
